
#	
Player
Team	
GP
MPG
PPG
FGM
FGA
FG%
3PM
3PA
3P%
FTM
FTA
FT%
ORB
DRB
RPG
APG
SPG
BPG
TOV
PF
165	Ryan Conwell	INDST	38	34.0	16.6	5.4	11.1	.482	2.9	7.1	.407	2.9	3.4	.855	0.8	5.0	5.8	2.5	1.1	0.3	1.7	2.8
166	Ja'Kobi Gillespie	BLMNT	26	30.2	16.5	6.3	11.3	.561	1.6	4.1	.387	2.3	2.7	.831	0.5	3.2	3.7	4.1	2.1	0.3	2.3	2.2
167	Chisom Okpara	HAR	26	30.5	16.5	5.7	11.8	.479	1.0	3.1	.338	4.2	6.2	.673	1.2	3.9	5.0	2.0	0.8	0.7	2.4	2.5
168	Boogie Ellis	USC	29	33.6	16.5	5.6	13.1	.427	3.0	7.2	.418	2.3	3.2	.720	0.3	3.2	3.5	3.0	1.4	0.1	1.8	1.9
169	Johni Broome	AUB	35	24.7	16.5	6.2	11.4	.548	0.8	2.3	.354	3.2	5.2	.615	2.5	6.1	8.5	2.2	0.9	2.2	1.6	2.4
170	Graham Ike	ZAGS	35	24.2	16.5	6.6	10.9	.609	0.2	0.5	.368	3.0	3.8	.784	2.3	5.0	7.4	0.9	0.6	0.7	1.6	2.8
171	Tyrece Radford	TAMU	31	32.8	16.5	6.0	14.7	.411	1.1	4.0	.280	3.3	4.7	.692	2.6	3.9	6.5	2.6	0.5	0.1	1.4	1.6
172	Sean Pedulla	VT	32	32.1	16.4	5.4	12.7	.424	1.7	5.1	.325	4.0	5.0	.801	0.6	3.7	4.3	4.6	1.2	0.1	3.3	2.2
173	Kyle Filipowski	DUKE	36	30.4	16.4	6.1	12.1	.506	1.1	3.1	.348	3.1	4.6	.671	2.2	6.1	8.3	2.8	1.1	1.5	2.1	3.0
174	Ansley Almonor	FDU	32	32.0	16.4	5.6	12.8	.436	2.9	7.4	.394	2.4	3.0	.800	0.9	4.2	5.1	1.7	0.5	0.7	1.6	2.3
175	Kalen Williams	TAMUC	33	31.6	16.4	5.8	13.2	.444	1.4	4.6	.311	3.2	4.3	.759	1.0	2.5	3.5	2.9	1.1	0.1	2.0	1.6
176	Payton Sandfort	IOWA	34	30.5	16.4	5.3	11.9	.446	2.8	7.3	.379	3.0	3.3	.911	1.2	5.4	6.6	2.7	0.7	0.4	1.3	2.5
177	Colby Rogers	WICHI	34	35.0	16.4	5.6	14.0	.400	2.9	7.1	.409	2.3	2.7	.828	0.5	2.9	3.4	1.9	1.0	0.3	1.6	1.8
178	Isaiah Crawford	LATCH	32	32.9	16.3	5.7	11.7	.485	1.3	3.1	.414	3.7	5.1	.728	1.9	4.3	6.2	2.4	2.1	1.7	2.5	2.3
179	Matt Rogers	AMERU	31	28.2	16.3	6.1	12.2	.501	1.6	4.3	.368	2.5	3.5	.731	1.7	4.5	6.2	1.6	0.8	0.5	2.0	2.5
180	Tanner Holden	WRST	32	33.2	16.3	6.1	11.0	.553	0.4	1.1	.400	3.8	5.4	.698	1.7	4.7	6.4	3.6	1.8	0.4	2.5	2.7
181	Isaiah Collier	USC	27	29.9	16.3	5.7	11.6	.490	1.0	3.0	.338	3.9	5.8	.673	0.6	2.3	2.9	4.3	1.5	0.2	3.3	2.4
182	Dug McDaniel	MICH	26	35.4	16.3	5.8	14.2	.410	2.2	5.8	.368	2.5	3.2	.774	0.7	3.0	3.7	4.7	1.1	0.0	2.4	1.8
183	A.J. Smith	CTDL	29	32.1	16.2	6.0	13.3	.453	1.2	3.4	.354	3.0	3.7	.796	0.8	3.5	4.3	1.3	0.7	0.0	1.8	1.8
184	Cade Tyson	BLMNT	31	31.6	16.2	5.7	11.5	.493	2.6	5.5	.465	2.3	2.7	.855	1.1	4.8	5.9	1.6	0.9	0.6	1.4	2.5
185	Tramon Mark	ARK	31	32.5	16.2	5.4	11.3	.480	1.2	3.2	.364	4.2	5.3	.804	0.5	3.8	4.3	1.8	1.2	0.8	1.7	2.9
186	Kezza Giffa	HP	36	29.7	16.2	4.1	10.0	.407	1.4	4.1	.340	6.7	7.6	.883	0.3	2.6	2.9	2.9	0.6	0.1	2.6	2.3
187	Jalen Leach	FAIR	32	32.8	16.2	5.7	11.6	.488	1.4	4.1	.354	3.5	3.9	.895	1.1	3.0	4.1	3.0	1.8	0.1	1.7	1.6
188	Matthew Murrell	MISS	32	32.9	16.2	5.6	12.0	.464	2.4	6.1	.398	2.7	3.6	.739	0.6	3.1	3.6	2.4	1.6	0.3	1.7	2.0
189	Robert Ford III	MTSTU	35	33.9	16.2	5.3	10.9	.487	2.4	5.5	.440	3.2	4.1	.785	1.0	6.6	7.6	3.0	2.9	0.2	2.3	2.9
190	Achor Achor	SAMF	33	22.6	16.1	5.8	9.9	.586	0.8	1.9	.435	3.7	5.2	.712	2.2	3.9	6.1	1.5	0.8	1.8	1.9	2.9
191	Dusan Neskovic	DART	23	26.1	16.0	5.6	12.9	.432	2.1	5.9	.363	2.8	3.7	.753	0.7	3.3	4.0	1.1	0.6	0.1	2.3	1.6
192	Isaiah Stevens	COLST	36	34.8	16.0	5.8	12.3	.474	1.8	4.2	.440	2.6	3.1	.836	0.5	2.7	3.2	6.8	1.2	0.2	2.4	1.4
193	Tristan Da Silva	COLO	34	34.0	16.0	5.8	11.8	.493	1.9	4.8	.395	2.5	3.0	.835	0.9	4.1	5.1	2.4	1.1	0.6	1.8	2.0
194	Diante Smith	NICH	31	33.8	16.0	5.5	12.9	.421	2.5	6.4	.394	2.6	3.3	.784	1.1	5.1	6.2	3.0	1.9	0.4	2.4	2.5
195	Dae Dae Grant	DUQ	35	31.9	16.0	4.7	12.2	.386	2.4	7.1	.335	4.2	4.4	.942	0.8	2.5	3.3	2.4	0.9	0.1	1.2	1.9
196	Jack Forrest	BUCK	33	36.1	16.0	5.5	13.4	.408	2.6	7.0	.371	2.5	3.1	.802	0.7	4.5	5.2	1.5	1.1	0.3	1.7	2.2
197	Austin Crowley	SOMIS	31	34.3	16.0	5.2	13.5	.383	1.8	5.4	.335	3.8	5.0	.755	0.9	3.5	4.4	3.3	1.2	0.5	2.4	2.3
198	Tiger Booker	EIU	28	33.1	16.0	5.5	12.8	.427	0.9	3.0	.294	4.1	4.8	.859	0.5	2.2	2.7	3.4	2.1	0.0	1.4	1.3
199	Hysier Miller	TEM	36	36.4	15.9	5.4	15.3	.353	2.1	7.3	.294	3.0	4.0	.762	0.7	2.9	3.6	4.0	1.8	0.2	2.1	2.8
200	Josh Oduro	PROV	34	30.1	15.9	5.9	11.3	.527	0.5	1.6	.291	3.6	4.4	.819	2.3	5.2	7.5	2.0	0.9	1.3	2.1	3.2
